Sample,Attempt 2,Lat.,Long.,Formation Name Attempt 2,Guess from Scott Hughes,Orientation,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr,Sc,Ba,Rb,Sr,Zr,La,Ce,Th
WA-058,2,45.109705,-117.403677,GR,None,,53.28783605,2.45966522,13.07368421,12.9,0.206433566,3.273962264,7.122895126,2.511883167,1.694361813,0.400725,1.4,33.2,580,108,379.2333333,200.1031579,21.9,44.4,4.54
WA-060,2,45.166187,-117.474144,GR,None,,54.31,2.18,13.38,12.5,0.21,3.69,7.25,3.4,1.39,0.44,12.7,33.9,675,29.8,319,197,19.9,47.6,3.9
WA-062,2,45.178265,-117.475062,GR,None,,54.78954545,1.766518519,14.0075188,11.7,0.190188679,4.47105548,7.989156627,3.064931507,1.725118483,0.25,7.13,35,520,44,299,158,17.7,38.5,4.58
WA-063,2,45.179413,-117.477369,GR,None,,55.95,2.13,13.49,11.9,0.19,3.01,6.29,3.18,1.83,0.36,9.31,29.6,650,59,293,222,25.7,56.2,5.18
WA-064,2,45.178032,-117.478253,GR,None,,54.55,2.41,12.87,13.3,0.2,3.04,6.36,3.32,1.74,0.51,5.11,33.5,760,46,284,230,27.8,57.3,4.86
WA-065,2,45.177405,-117.481363,GR,None,,55.09909091,2.06762963,13.8,12.3,0.187018868,3.522056834,6.924698795,2.951415525,1.872985782,0.4,14.3,31.1,645,40.3,312,215,23.2,51.3,3.99
WA-066,3,45.176999,-117.486188,Imnaha,Imnaha,167,47.63,1.52,16.39,10.9,0.17,8.84,10.29,2.79,0.26,0.25,147,28.2,95,4,439,96,6.88,17.7,1.11
WA-067,3,45.176971,-117.486188,Imnaha,Imnaha,167,47.63033916,1.511152416,16.68513854,11.2,0.173516418,8.708555347,10.34537445,2.783482428,0.234481812,0.21,141,29.5,130,3,431,94,6.15,18,1.38
WA-068,3,45.176999,-117.486188,Imnaha,Imnaha,167,47.88907598,1.339888476,17.04090909,10.8,0.172,8.928481577,10.56909621,2.612278177,0.166259696,0.18,136,29.9,125,4,410,90,6.14,16.4,1.16
WA-069,2,45.177538,-117.469215,GR,None,,52.91383984,2.045092937,14.32272727,13.2,0.197,4.549709057,8.221918605,3.183557692,1.309603761,0.38,77.4,38,505,33,318,166,18.9,43.8,3.21
WA-070,2,45.156982,-117.393795,GR,None,165,52.70874743,1.692490706,14.11363636,12.1,0.213,5.393244194,9.60573913,3.169445783,0.834503511,0.39,50.6,46.2,460,16,381,165,17,39.8,1.53
WA-071,2,45.156946,-117.393785,GR,None,,52.85,2.31,12.81,12.5,0.21,4.73,10.08,2.44,1.15,0.35,65.5,37,440,37,318,206,19.3,43.3,3.49
WA-072,2,45.16193,-117.388662,GR,None,,55.72,2.19,13.14,12.2,0.2,3.25,6.88,3.3,1.73,0.38,4.98,30,695,54.4,314,207,23.9,49.5,4.99
WA-073,2,45.16193,-117.388662,GR,None,,54,2.14,13.47,13.2,0.2,3.72,7.27,3.46,1.57,0.37,14.4,35.5,580,30,323,199,21,44.7,4.46
WA-074,2,45.161929,-117.388742,GR,None,,54.1395,2.136730769,13.50215827,13,0.202309859,3.710263523,7.369565217,3.747350427,1.461104294,0.38,13.3,34.9,570,40,325,192,20.1,42.6,4.31
WA-079,2,45.1642,-117.387353,GR,None,,52.88,2.28,14.46,12.7,0.2,5.02,9.05,2.95,1.11,0.33,68,35.9,450,32.5,360,191,19,44.9,3.02
WA-080,2,45.1642,-117.387353,GR,None,,54.13,2.2,13.41,13.1,0.21,3.99,7.75,3.13,1.29,0.45,12.4,35.6,590,43,333,197,20.5,47.1,3.32
WA-081,3,45.1642,-117.387293,Imnaha,None,170,52.71,2.28,14.33,11.8,0.2,4.94,8.97,2.89,1.05,0.35,65.7,34.1,370,38,351,195,18.6,41.6,3.24
WA-082,2,45.1642,-117.387383,GR,None,,53.01148064,2.5745,13.30359712,12.9,0.19284507,3.886125,7.543542857,3.104859813,1.422380107,0.37,18.3,35.4,610,42,335,201,22.7,50.8,4.2
WA-083,2,45.164242,-117.387353,GR,None,,55.85544419,2.355615385,13.10503597,12.2,0.210591549,2.871916667,6.618514286,3.516728972,1.810301954,0.53,4.9,30.6,640,53,331,216,24.4,53.9,5.85
WA-084,0,45.164179,-117.387353,SM (shows high Ba signature),None,326,52.2,2.51,13.25,13.1,0.3,3.36,7.57,1.98,1.79,0.43,4.4,33.3,2885,100,546,205,24.5,52.6,4.99
