Cluster_ID,Number,SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,SR87_SR86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr
2,Sun31,48.85812449,1.000404204,17.06750202,11.2065481,5.588116411,10.97413096,2.93047696,2.374696847,0.704714,0.512651,18.927,15.633,39.033,27,52.8,25.6,5.44,0.83,2.19,0.34,1057,2.53,6.4,79,895,0.29,6.802,27,91
2,Sun32,48.18720498,0.923973084,19.02179371,10.55538817,4.549563121,10.63573365,3.474942252,2.651401024,0.704938,0.512621,18.925,15.635,39.07,41.5,73.4,31.9,6.41,5.98,1.98,0.3,1406,2.53,4.2,90,1155,0.35,10.201,26,103
2,Sun33,49.59685547,0.856682121,19.14936505,9.877040919,4.041523886,9.957669825,3.477121548,3.043741181,0.704965,0.512609,18.939,15.669,39.16,39.3,74.3,36.6,7.2,0.91,2.15,0.34,1298,2.72,5.5,95,1146,0.33,10.318,26,113
2,Sun34,50.31872913,0.880299504,19.2249317,9.713649702,3.936051806,9.652939391,3.521198017,2.752200749,0.70473,0.512743,18.904,15.636,39.055,28.2,54.6,24.7,5.24,5.21,2.35,0.37,1472,2.73,4.7,84,957,0.41,7.927,29,106
2,Sun35,52.31439279,0.800162058,19.05195989,8.680239036,3.494378608,8.487794996,4.132482528,3.038590094,0.70474,0.51267,18.85,15.6,38.912,35.9,64.6,30,6.03,0.86,2.5,0.4,1578,3.45,7,104,970,0.42,10.18,28,127
2,Sun36,51.79957657,0.796451255,19.16523843,8.92227039,3.45800988,8.811372114,3.972174614,3.074906745,0.704789,0.512713,18.87,15.578,38.87,33.6,64.2,29.4,6.15,0.9,2.69,0.41,1746,2.97,5,100,1006,0.35,8.824,29,110
2,Sun37,54.57480077,0.665792394,19.24745284,7.293453041,2.602642994,7.031171189,4.660546757,3.924140018,0.704638,0.512744,18.893,15.599,38.94,42.7,75.5,32.1,6.52,0.92,2.73,0.42,1764,3.58,6.7,123,987,0.37,12.434,31,149
2,Sun38,51.19906328,0.676026467,18.01411702,8.537595688,8.1123176,10.35911144,2.763755261,0.338013233,0.703804,0.512985,18.212,15.547,38.334,3.15,7.96,6.1,2.16,2.8,2.04,0.33,61,1.52,0.48,5.3,179,0.04,0.62,20,51
2,Sun39,55.89801624,1.178271868,17.42444415,9.462787911,3.424976701,7.608840367,4.27373186,0.728930901,0.704047,0.512873,18.276,15.561,38.425,8.87,20.88,14.2,4.56,5.37,3.67,0.58,136,2.93,1.14,19.6,191,0.09,2.72,37.5,100
2,Sun40,54.17724593,1.301525622,17.06886274,10.62195041,3.954253417,8.435078268,3.854900316,0.586183295,0.703954,0.512928,18.288,15.56,38.447,6.67,16.03,11.8,3.95,4.9,3.5,0.57,109,2.56,0.87,14,189,0.07,1.58,35.3,86
