SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation,Member,MemberID,Source,FormationID,Polarity
54.74,2.269,13.9,11.65,,,0.21,3.99,7.7,3.41,1.55,0.363,10.0,32.0,27.0,351.0,525.0,39.0,316.0,191.0,38.0,14.5,25.0,66.0,121.0,6.0,24.0,54.0,9.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.17,2.509,13.58,13.02,,,0.231,3.55,7.21,3.4,1.65,0.44,2.0,18.0,40.0,409.0,659.0,39.0,320.0,190.0,41.0,13.3,22.0,14.0,129.0,7.0,19.0,57.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.41,2.264,13.89,11.51,,,0.2,4.43,8.02,3.18,1.52,0.349,17.0,48.0,32.0,332.0,533.0,40.0,324.0,191.0,38.0,13.6,21.0,71.0,118.0,6.0,33.0,68.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.47,2.488,13.79,11.65,,,0.198,3.38,7.08,3.23,1.98,0.471,5.0,22.0,26.0,392.0,690.0,50.0,313.0,192.0,41.0,15.0,23.0,17.0,134.0,7.0,18.0,55.0,9.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.28,2.547,13.82,11.93,,,0.192,3.25,7.31,3.08,1.86,0.465,2.0,27.0,24.0,386.0,890.0,48.0,323.0,191.0,40.0,14.8,21.0,20.0,132.0,10.0,31.0,65.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.35,2.538,13.73,12.39,,,0.198,3.55,7.28,3.29,1.93,0.478,7.0,26.0,29.0,402.0,664.0,46.0,319.0,191.0,40.0,14.2,25.0,19.0,133.0,6.0,29.0,60.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.84,2.268,13.64,11.47,,,0.178,4.54,7.59,3.36,1.52,0.354,9.0,31.0,26.0,345.0,593.0,41.0,317.0,191.0,39.0,14.0,23.0,58.0,119.0,4.0,22.0,72.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
57.08,2.26,18.07,7.43,,,0.052,1.8,7.44,3.75,1.49,0.364,13.0,92.0,46.0,256.0,681.0,43.0,396.0,190.0,44.0,12.9,25.0,70.0,140.0,8.0,24.0,48.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.35,2.032,14.15,11.98,,,0.171,3.76,7.41,3.06,1.56,0.301,7.0,2.0,32.0,346.0,562.0,41.0,323.0,190.0,39.0,12.1,20.0,21.0,124.0,10.0,18.0,46.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.92,2.393,13.98,10.06,,,0.199,3.32,7.22,3.1,2.07,0.459,69.0,42.0,35.0,339.0,999.0,53.0,359.0,190.0,41.0,17.0,21.0,29.0,128.0,7.0,22.0,48.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.18,2.23,13.88,11.84,,,0.206,3.27,6.79,3.05,1.87,0.435,13.0,15.0,32.0,329.0,786.0,53.0,359.0,190.0,40.0,12.7,21.0,14.0,131.0,7.0,32.0,66.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.68,2.257,13.71,11.54,,,0.195,4.32,7.87,3.25,1.58,0.351,9.0,36.0,31.0,343.0,590.0,40.0,327.0,190.0,38.0,14.0,24.0,60.0,124.0,7.0,17.0,56.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.38,2.511,13.68,12.58,,,0.183,3.61,7.01,3.61,1.74,0.455,6.0,18.0,38.0,396.0,676.0,45.0,315.0,190.0,41.0,13.6,22.0,12.0,133.0,6.0,14.0,64.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
