Sample,Lat.,Long.,Coll. Date,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,V,Cr,Co,Ni,Cu,Zn,Li,Rb,Cs,Sr,Ba,Ba,Y,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Yb,Lu,Zr,Hf,Nb,Ta,Th,U
BH-07,44.25713,-117.603752,27-Aug-90,56.30,2.26,13.60,11.90,0.19,3.20,6.96,3.38,1.88,0.41,27.30,,8.50,30.30,,,,,76.00,20.70,568.00,910.00,867.00,,28.00,58.60,33.70,7.20,2.01,,1.16,,4.84,0.50,,5.59,,0.86,6.60,2.10
BH-08,44.257603,-117.604086,27-Aug-90,54.20,2.21,13.60,13.40,0.19,3.85,7.71,3.07,1.48,0.37,34.30,,12.60,38.30,,,,,27.00,1.46,491.00,575.00,631.00,,20.20,43.80,25.90,6.22,1.88,,1.04,,3.64,0.50,,4.72,,0.70,3.66,1.10
BH-09,44.258245,-117.600176,27-Aug-90,54.50,2.12,13.60,13.10,0.21,3.49,7.83,3.02,1.71,0.35,33.70,,10.80,37.50,,,,,82.00,33.30,591.00,915.00,847.00,,21.50,47.60,26.10,6.35,1.95,,1.17,,3.76,0.47,,4.75,,0.75,4.83,1.70
BLO-01,44.571491,-117.266385,26-Aug-90,48.40,2.23,17.40,11.20,0.16,7.33,8.96,3.20,0.76,0.30,22.50,,95.80,51.30,190.00,,,,24.00,0.68,456.00,320.00,345.00,,15.80,35.60,21.00,5.72,1.79,,0.83,,2.39,0.35,173.00,4.51,,0.69,1.09,0.90
BLO-02,44.571536,-117.266354,26-Aug-90,65.00,0.46,16.00,4.80,0.09,3.05,5.42,3.94,1.00,0.14,11.30,,25.00,10.90,10.00,,,,18.00,0.72,450.00,347.00,297.00,,7.50,15.50,9.00,2.40,0.72,,0.30,,1.04,0.16,94.00,2.71,,0.08,1.25,0.80
BLO-03,44.571581,-117.266322,26-Aug-90,48.30,2.47,16.50,12.20,0.17,6.87,9.09,3.10,0.87,0.37,26.50,,108.00,51.20,142.00,,,,20.00,0.62,452.00,350.00,381.00,,17.90,41.00,26.00,6.47,2.09,,1.02,,2.68,0.36,193.00,5.53,,0.91,1.21,1.10
BLO-04,44.580043,-117.26491,26-Aug-90,48.70,2.38,16.30,13.00,0.18,5.83,9.35,3.09,0.82,0.31,28.60,,123.00,49.80,102.00,,,,16.00,0.45,379.00,315.00,335.00,,15.40,38.10,22.30,6.16,2.03,,1.05,,2.92,0.40,182.00,5.21,,0.87,1.63,1.10
BLO-05,44.580422,-117.254718,26-Aug-90,55.40,2.12,13.60,12.80,0.19,3.70,6.78,3.27,1.76,0.27,33.00,,6.30,38.60,10.00,,,,39.00,0.81,419.00,710.00,763.00,,24.70,51.90,25.60,6.27,1.81,,0.92,,2.97,0.40,175.00,5.29,,0.71,6.41,1.80
BLO-06,44.583813,-117.260347,26-Aug-90,52.20,2.14,13.80,13.80,0.24,4.58,8.62,3.32,0.97,0.34,39.00,,31.30,42.40,24.00,,,,22.00,0.49,286.00,340.00,356.00,,16.20,36.70,20.80,6.50,2.06,,1.16,,3.83,0.55,188.00,5.21,,0.56,2.36,0.90
BLO-07,44.591555,-117.262233,26-Aug-90,51.70,1.86,15.00,12.30,0.20,5.10,9.73,3.05,0.78,0.28,37.90,,54.50,40.00,32.00,,,,23.00,0.49,278.00,290.00,299.00,,14.70,31.40,18.60,5.51,1.82,,0.95,,3.24,0.46,163.00,4.63,,0.66,3.04,0.70
