SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Cu,Formation,Member,MemberID,Source,FormationID,Polarity
49.38793657,2.861000785,14.83447238,0.189712782,4.689592244,8.708249038,3.433419643,1.449773397,0.530308837,51.811,38.021,33.5885,384.0515,510.427,25.019,465.117,207.0,40.6805,12.608,276.588,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.92859356,2.13333301,15.47403764,0.170586241,6.360001309,8.42921676,3.168031639,1.312440382,0.345707578,105.395,158.191,29.353,298.061,710.6775,23.837,448.569,204.2,31.0275,10.047,153.266,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.36255854,2.818385947,15.00502252,0.205761087,5.368161959,8.378551593,3.425551976,1.430068023,0.567968115,58.113,48.213,33.66,403.425,501.138,24.354,443.52,203.1105,40.689,12.969,234.234,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.73766498,2.505829948,14.6043623,0.19812814,6.590975035,10.55293038,2.742956023,0.638667121,0.281297412,99.897,318.8865,34.773,380.091,229.14,11.256,352.353,185.4225,34.6725,12.1605,197.583,Steens,LowerSteens,0,Moore2018,0.0,0.0
52.09204793,2.060321756,16.29297482,0.220466573,4.300260114,8.192758108,3.43248873,1.937175716,0.488774998,61.07,56.933,26.201,293.8255,600.062,48.9545,523.1335,180.2,30.535,11.7215,169.617,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.76309842,2.566710882,15.07342475,0.197636842,6.69201736,10.08707915,3.161680016,0.7131312,0.311442559,106.8315,255.471,33.366,378.5835,230.6475,9.246,337.1775,172.9605,32.763,11.3565,227.733,Steens,LowerSteens,0,Moore2018,0.0,0.0
47.98738786,2.688000138,15.33074067,0.200999835,7.338225995,8.794404084,2.482287073,1.050714353,0.350227621,83.725,166.859,31.323,367.1095,297.9625,14.184,304.168,172.8,32.505,10.7365,247.1365,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.23206964,2.410135084,14.36396953,0.189002014,6.783548087,10.48736357,2.765657079,0.856580741,0.2632488,104.118,288.234,34.572,386.4225,223.6125,16.5825,334.9665,172.7595,31.959,11.055,207.7335,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.37822282,2.3087795,16.22113352,0.187209059,5.608917681,9.644892743,3.290546324,0.915254461,0.33018165,98.1885,127.434,27.8385,351.549,316.6755,15.1755,445.617,169.5435,32.2605,11.457,147.6345,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.22558736,2.192345326,16.38351215,0.163535812,5.676774289,9.045349261,3.257588966,1.235928669,0.409481126,81.378,94.545,28.314,314.523,436.689,21.78,457.479,163.9155,31.977,10.296,197.802,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.92343544,2.241801257,18.26602369,0.158572515,5.168075328,9.560521514,3.405993347,0.971651629,0.381432589,75.978,85.626,24.924,306.525,336.072,18.1905,513.8565,160.0965,29.2455,11.457,216.678,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.79420131,2.115888208,15.12988358,0.187001313,8.554362751,9.478999388,2.885560457,0.746604454,0.33525397,232.959,554.157,28.6425,295.47,302.907,10.1505,421.3965,159.6945,29.145,12.1605,140.1975,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.46414345,2.080523836,17.7803808,0.165377091,4.846152536,9.705539674,3.18653542,1.076589037,0.292632883,75.2745,101.706,24.12,304.8165,306.2235,22.6125,469.0335,159.4935,30.0495,10.3515,160.599,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.39102889,1.923190812,17.08035684,0.159281399,6.095041113,10.40411659,2.990853818,0.739111529,0.264421117,124.5195,245.22,26.934,281.4,218.3865,14.1705,382.302,158.991,29.0445,9.849,154.971,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.05352989,2.17639548,15.3483624,0.223316627,7.707460989,9.484771768,2.954210911,0.857070015,0.318203899,165.3225,175.071,25.125,317.0775,267.531,18.1905,408.834,156.378,27.8385,11.3565,186.2265,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.1630401,2.144531167,17.16276449,0.175382424,5.63541045,9.875381106,3.320390829,0.720953584,0.304500121,109.2435,127.635,29.2455,334.665,294.3645,10.854,470.139,156.177,30.351,9.5475,201.3015,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.08014893,2.181042475,18.33733939,0.144136756,5.061162801,9.580614752,3.438270017,0.935326288,0.366269457,72.4605,93.063,25.2255,303.51,336.3735,17.688,526.017,154.8705,28.542,10.7535,224.4165,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.35402271,1.821174967,14.57327477,0.17204949,9.776953847,10.21059343,2.531500081,0.561566299,0.207896085,278.0835,518.0775,29.8485,300.3945,174.5685,10.7535,307.8315,130.7505,26.4315,9.849,102.309,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.95,1.605,14.06,0.132,9.45,9.24,2.19,0.29,0.217,259.6,488.7,26.3,245.2,221.2,1.4,382.7,124.0,21.0,9.4,99.0,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.71,1.763,15.28,0.146,8.66,10.29,2.52,0.48,0.258,138.2,224.0,26.1,257.0,169.7,8.1,428.1,122.9,22.8,11.0,46.0,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.47,1.86,15.18,0.159,9.3,9.78,2.5,0.35,0.224,206.9,194.0,25.1,257.3,112.5,4.0,404.0,116.9,23.9,9.0,67.9,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.51,1.777,15.45,0.172,8.77,10.26,2.65,0.41,0.245,226.1,212.5,27.5,281.2,142.6,3.2,436.5,114.6,23.3,9.4,102.4,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.9,1.783,15.76,0.174,8.98,10.12,2.72,0.41,0.25,206.5,176.5,26.2,264.5,127.4,3.7,455.1,113.4,23.4,9.3,95.3,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.87,1.76,14.8,0.18,9.01,10.11,2.47,0.55,0.22,228.0,425.0,29.63,292.0,158.0,7.0,304.0,127.0,24.0,8.0,164.0,Steens,LowerSteens,0,Day2021,0.0,0.0
49.18,1.7,15.45,0.17,8.13,10.69,2.41,0.23,0.19,169.0,314.0,28.35,283.0,127.0,5.0,304.0,116.0,22.0,7.0,140.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.46,1.83,15.18,0.2,7.97,10.21,2.81,0.54,0.22,176.0,187.0,27.78,300.0,160.0,12.0,342.0,121.0,24.0,8.0,155.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.65,1.98,14.74,0.17,8.34,9.54,2.71,0.56,0.26,131.0,147.0,29.51,320.0,205.0,6.0,379.0,132.0,25.0,9.0,463.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.43,1.92,14.65,0.19,7.79,9.71,2.98,0.63,0.27,137.0,142.0,28.69,320.0,212.0,10.0,405.0,134.0,26.0,9.0,145.0,Steens,LowerSteens,0,Day2021,0.0,0.0
49.62,1.88,16.08,0.2,4.91,11.44,2.9,0.42,0.25,104.0,123.0,27.0,319.0,189.0,6.0,458.0,127.0,28.0,8.0,163.0,Steens,LowerSteens,0,Day2021,0.0,0.0
