SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Formation,Member,MemberID,Source,FormationID,Polarity
47.9,1.783,15.76,0.174,8.98,10.12,2.72,0.41,0.25,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.66,1.63,16.65,0.165,8.41,10.39,2.68,0.59,0.205,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.29,1.629,14.36,0.175,10.74,10.37,2.22,0.37,0.171,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.87,1.76,14.8,0.18,9.01,10.11,2.47,0.55,0.22,Steens,LowerSteens,0,Day2021,0.0,0.0
49.18,1.7,15.45,0.17,8.13,10.69,2.41,0.23,0.19,Steens,LowerSteens,0,Day2021,0.0,0.0
50.16,2.197,14.92,0.168,7.31,10.63,2.52,0.7,0.253,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.46,1.83,15.18,0.2,7.97,10.21,2.81,0.54,0.22,Steens,LowerSteens,0,Day2021,0.0,0.0
48.65,1.98,14.74,0.17,8.34,9.54,2.71,0.56,0.26,Steens,LowerSteens,0,Day2021,0.0,0.0
48.43,1.92,14.65,0.19,7.79,9.71,2.98,0.63,0.27,Steens,LowerSteens,0,Day2021,0.0,0.0
49.62,1.88,16.08,0.2,4.91,11.44,2.9,0.42,0.25,Steens,LowerSteens,0,Day2021,0.0,0.0
49.5,2.16,14.61,0.17,6.55,9.75,2.95,0.81,0.29,Steens,LowerSteens,0,Day2021,0.0,0.0
48.63,2.12,15.31,0.19,7.35,9.34,2.73,0.5,0.3,Steens,LowerSteens,0,Day2021,0.0,0.0
48.37,2.22,15.32,0.19,7.03,9.5,2.82,0.53,0.32,Steens,LowerSteens,0,Day2021,0.0,0.0
48.6,1.82,15.18,0.19,7.64,10.54,2.79,0.43,0.22,Steens,LowerSteens,0,Day2021,0.0,0.0
47.25,1.931,16.2,0.107,4.34,10.38,2.68,0.39,0.219,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.43,1.81,14.77,0.17,9.82,10.28,2.58,0.56,0.21,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.08,1.88,15.76,0.18,7.29,10.43,3.02,0.5,0.22,Steens,LowerSteens,0,Day2021,0.0,0.0
49.61,1.825,14.87,0.168,9.87,10.24,2.45,0.53,0.225,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
