SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
54.65,2.046,13.62,12.73,0.21,3.87,7.68,3,1.65,0.309,37,11,39,316,565,24,50,6,GrandeRonde,2
54.9,2.345,13.73,11.95,0.213,3.67,7.51,3.19,1.77,0.457,36,28,42,322,699,25,50,6,GrandeRonde,2
54.08,2.562,14.05,12.72,0.227,3.66,7.34,3.01,1.58,0.526,40,22,45,339,730,25,50,6,GrandeRonde,2
53.25,2.378,13.61,13.04,0.239,4.33,7.84,3.37,1.24,0.446,39,46,27,289,522,27,50,6,GrandeRonde,2
53.9,2.314,13.68,12.42,0.261,4.1,7.95,3.31,1.42,0.388,37,29,33,316,557,27,50,6,GrandeRonde,2
56.17,1.898,14.26,10.01,0.193,4.26,8.07,3.05,1.53,0.328,39,33,38,327,593,8,51,6,GrandeRonde,2
50.94,3.252,13.32,14.1,0.227,4.42,8.54,2.93,1.34,0.698,47,33,32,305,553,17,51,6,Wanapum,1
56.11,1.789,14.32,10.07,0.192,4.18,7.96,3.21,1.69,0.256,34,22,41,322,587,18,51,6,GrandeRonde,2
53.2,2.229,14.01,12.51,0.22,4.31,8.44,3.39,1.02,0.425,38,32,16,326,524,22,51,6,GrandeRonde,2
57.71,2.266,13.61,10.48,0.185,2.99,6.64,3.15,2.36,0.328,32,83,59,328,784,22,51,6,GrandeRonde,2
52.42,3.082,13.24,13.29,0.209,4.25,8.39,2.99,1.31,0.576,41,28,31,312,577,25,51,6,Wanapum,1
52.42,3.081,13.24,13.29,0.209,4.25,8.39,2.99,1.31,0.575,41,28,31,312,577,25,51,6,Wanapum,1
55.58,2.108,13.69,12.37,0.214,3.43,7.19,3.54,1.27,0.371,34,4,44,317,631,25,51,6,GrandeRonde,2
55.63,2,13.76,11.75,0.197,3.84,7.77,3.07,1.45,0.311,31,20,36,348,541,26,51,6,GrandeRonde,2
55.11,2.079,14.62,11.58,0.19,3.91,7.49,3.09,1.41,0.287,32,64,39,356,548,26,51,6,GrandeRonde,2
55.39,1.992,14.1,11.47,0.18,3.87,7.38,3.56,1.54,0.3,34,15,41,351,555,26,51,6,GrandeRonde,2
55.81,1.992,14.13,11.06,0.19,3.84,7.46,3.23,1.74,0.312,29,43,45,348,562,26,51,6,GrandeRonde,2
54.95,2.062,14.38,11.67,0.187,4.07,7.52,3.27,1.3,0.357,29,28,21,360,617,26,51,6,GrandeRonde,2
54.72,2.138,14.38,11.57,0.191,4.13,7.65,3.31,1.31,0.356,32,20,20,364,639,26,51,6,GrandeRonde,2
50.09,3.257,13.55,13.47,0.222,5.33,9.13,2.69,1.24,0.784,39,96,28,285,495,27,51,6,Wanapum,1
54.58,2.249,13.84,11.94,0.24,4.03,7.46,3.46,1.48,0.45,34,31,32,351,649,27,51,6,GrandeRonde,2
54.63,1.791,14.07,11.48,0.201,4.73,8.11,3.13,1.32,0.314,26,27,31,316,557,16,52,6,GrandeRonde,2
50.47,3.664,12.8,14.73,0.248,4.5,8.62,2.72,1.24,0.772,30,29,29,286,517,19,52,6,Wanapum,1
56.47,2.458,14.06,10.94,0.163,3.1,6.91,3.2,1.92,0.467,30,13,50,356,1154,19,52,6,GrandeRonde,2
53.87,2.513,13.67,12.13,0.206,4.3,7.91,3.13,1.66,0.374,34,27,40,341,537,22,52,6,GrandeRonde,2
54.53,2.313,13.86,12.34,0.217,3.63,7.53,3.43,1.52,0.381,32,8,41,338,696,23,52,6,GrandeRonde,2
56.83,2.245,13.34,11.94,0.186,2.94,6.56,3.27,2.09,0.328,31,23,55,314,714,23,52,6,GrandeRonde,2
