SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
50.67,2.765,14.81,12.58,0.194,4.51,9.66,3.15,0.98,0.418,37,104,22,353,388,20,50,2,Imnaha,3
50.56,2.785,14.74,13.12,0.203,5.11,8.86,3.15,1.05,0.422,32,87,23,339,443,21,50,2,Imnaha,3
56.26,2.031,14.12,10.83,0.193,3.72,7.43,3.22,1.66,0.305,34,8,42,316,602,21,50,2,GrandeRonde,2
56.97,2.119,14.27,9.27,0.175,3.88,7.74,3.13,1.86,0.325,34,12,48,334,646,21,50,2,GrandeRonde,2
52.93,1.568,14.55,10.76,0.163,6.02,9.69,3.05,0.82,0.246,44,143,12,313,368,0.1,51,2,GrandeRonde,2
50.98,1.702,14.82,11.12,0.192,6.79,11.12,2.52,0.39,0.197,36,71,5,241,211,8,51,2,SaddleMountains,0
50.89,3.212,13.31,14.18,0.219,4.41,8.58,2.88,1.39,0.698,39,30,32,309,531,11,51,2,Wanapum,1
54.92,2.251,13.98,11.8,0.189,3.88,7.94,2.96,1.42,0.382,35,29,35,338,859,21,51,2,GrandeRonde,2
50.61,2.711,15.35,12.85,0.192,4.83,8.68,3.26,1.12,0.406,29,75,28,359,442,24,51,2,Imnaha,3
48.82,2.84,16.17,12.91,0.189,5.5,9.16,3.14,0.84,0.432,27,96,23,401,405,28,51,2,Imnaha,3
54.27,1.707,14.32,10.74,0.186,5.15,8.9,3.15,1.09,0.273,39,100,24,308,505,28,51,2,GrandeRonde,2
55.5,2.675,13.13,12.31,0.259,2.8,6.65,3.66,1.99,0.791,26,9,48,326,829,35,51,2,Wanapum,1
55.22,2.186,13.73,11.63,0.221,3.97,7.84,3.11,1.48,0.381,41,30,36,323,626,6,52,2,GrandeRonde,2
48.6,2.206,15.05,12.16,0.199,6.81,11.35,2.44,0.43,0.512,37,266,6,254,452,14,52,2,SaddleMountains,0
48.79,2.794,16.21,12.79,0.19,5.67,9.21,3.14,0.77,0.426,27,97,16,400,399,22,52,2,Imnaha,3
56.46,2.249,13.35,12.08,0.236,3.1,6.71,3.49,1.65,0.437,35,8,49,305,659,22,52,2,GrandeRonde,2
55.29,2.349,13.8,12.22,0.21,3.42,7.66,2.77,1.65,0.379,32,29,43,332,664,26,52,2,GrandeRonde,2
49.69,3.266,13.52,14.15,0.228,4.97,9.35,2.68,1.1,0.784,39,93,30,301,528,28,52,2,Wanapum,1
54.23,2.183,13.87,11.87,0.189,4.35,7.89,3.32,1.51,0.349,39,30,40,334,510,40,52,2,GrandeRonde,2
53.68,1.773,14.28,11.62,0.185,4.98,8.84,3.07,1.09,0.269,42,49,27,314,434,12,53,2,GrandeRonde,2
50.46,3.192,13.47,13.38,0.22,5.39,9.06,2.67,1.14,0.771,44,93,26,284,506,18,53,2,Wanapum,1
50.94,3.866,13.69,13.8,0.22,3.22,9.17,2.77,1.14,0.834,48,34,26,317,1411,20,53,2,Wanapum,1
54.53,2.117,14.07,11.68,0.199,3.99,8.16,3.13,1.47,0.404,38,23,35,331,600,23,53,2,GrandeRonde,2
56.96,2.13,13.61,11.36,0.189,3.23,6.87,3.21,1.88,0.304,32,11,53,317,682,23,53,2,GrandeRonde,2
49.85,3.275,13.65,13.66,0.243,5.38,9.25,2.68,0.97,0.79,46,101,21,292,515,24,53,2,Wanapum,1
50.11,3.1,13.84,14.16,0.227,4.47,9.54,3.17,0.94,0.442,41,70,9,318,436,25,53,2,Imnaha,3
51.86,3.012,13.59,13.8,0.229,4.26,8.33,3.24,1.24,0.44,37,26,30,261,459,27,53,2,Imnaha,3
53.71,2.44,13.85,11.94,0.206,4.47,8.08,3.18,1.53,0.363,38,33,35,345,516,36,53,2,GrandeRonde,2
54.37,2.151,13.77,11.91,0.191,4.46,8,3.2,1.38,0.33,34,52,34,322,495,13,54,2,GrandeRonde,2
55.11,2.204,14.32,10.73,0.199,4.12,8,3.42,1.32,0.345,35,34,32,342,593,18,54,2,GrandeRonde,2
49.19,2.795,15.3,13.24,0.204,5.34,8.71,3.37,1.33,0.514,34,55,21,480,485,22,54,2,Steens,4
54.1,1.832,14.58,10.53,0.184,4.82,9.12,3.22,1.12,0.285,42,49,24,325,483,24,54,2,GrandeRonde,2
54.77,2.11,13.67,12.16,0.197,4.1,7.87,3.28,1.26,0.355,39,30,27,314,554,26,54,2,GrandeRonde,2
54.84,2.217,14,11.23,0.226,4.04,8.12,3.12,1.55,0.406,36,22,34,335,672,31,54,2,GrandeRonde,2
54.4,2.194,14.1,11.23,0.211,4.3,8.28,3.14,1.58,0.339,34,46,39,338,509,2,55,2,GrandeRonde,2
52.36,3.248,13.58,12.95,0.184,4.02,8.78,2.91,1.15,0.581,39,34,26,326,535,16,55,2,Wanapum,1
54.96,1.956,14.33,10.36,0.215,4.35,8.8,3.05,1.36,0.398,37,48,31,320,542,17,55,2,GrandeRonde,2
54,2.333,13.69,12.85,0.22,4,7.73,3.28,1.43,0.464,37,21,31,329,606,20,55,2,GrandeRonde,2
54,2.333,13.69,12.85,0.22,4,7.73,3.28,1.43,0.464,37,21,31,329,606,20,55,2,GrandeRonde,2
54.57,1.778,14.15,11.14,0.203,4.84,8.4,3.03,1.39,0.291,35,30,31,315,485,21,55,2,GrandeRonde,2
57.49,2.222,13.53,10.96,0.195,3.01,6.74,3.19,2.09,0.322,31,10,58,317,709,28,55,2,GrandeRonde,2
50.83,3.147,13.59,13.69,0.214,4.79,9.09,2.64,1.03,0.748,38,91,23,285,481,5,56,2,Wanapum,1
51,3.252,13.4,13.97,0.218,4.12,8.67,3.01,1.42,0.708,43,32,31,311,528,27,56,2,Wanapum,1
50.08,2.945,14.91,13.08,0.196,5.24,8.68,3.24,1.16,0.468,31,94,30,348,463,29,56,2,Imnaha,3
55.36,2.521,13.92,12.54,0.153,2.91,6.65,3.35,1.83,0.516,33,14,50,323,729,26,57,2,GrandeRonde,2
56.39,2.459,13.84,11.02,0.2,3.15,6.82,3.33,2.08,0.466,25,19,55,326,744,27,57,2,GrandeRonde,2
49.62,3.225,13.4,14.1,0.236,5.36,9.12,2.73,1.15,0.801,38,123,29,292,527,28,57,2,Wanapum,1
50,3.217,13.54,13.77,0.23,5.41,9.14,2.57,1.08,0.785,34,110,24,291,509,29,57,2,Wanapum,1
48.9,3.173,13.38,15.34,0.259,5.41,8.97,2.52,0.98,0.783,38,108,25,293,678,24,58,2,Wanapum,1
57.39,2.176,13.55,10.98,0.202,3.08,6.73,3.1,2.2,0.325,30,10,56,318,750,24,58,2,GrandeRonde,2
49.96,2.985,15.03,13.12,0.196,5.02,8.81,3.23,1.19,0.461,30,92,30,349,469,27,58,2,Imnaha,3
54.87,2.535,14,12.35,0.181,3.26,7.01,3.34,1.68,0.522,33,13,37,333,782,32,58,2,GrandeRonde,2
56.12,2.398,13.83,11.63,0.198,3.11,6.9,3.37,1.68,0.449,33,7,46,347,1201,32,58,2,GrandeRonde,2
50.33,3.183,13.57,13.47,0.236,5.38,9.09,2.59,1.15,0.77,41,90,27,285,497,18,59,2,Wanapum,1
52.12,2.31,17.95,13.69,0.117,2.63,7.54,2.86,0.26,0.338,43,62,6,353,377,19,59,2,GrandeRonde,2
48.73,2.182,15.12,11.59,0.174,7.26,11.44,2.3,0.49,0.507,40,269,8,243,305,23,59,2,SaddleMountains,0
54.32,2.548,13.79,12.43,0.208,3.65,7.5,3.07,1.77,0.445,34,15,50,321,723,23,59,2,GrandeRonde,2
51.58,3.005,14.23,13.43,0.223,4.12,8.79,3.14,1.04,0.446,36,35,29,298,439,24,59,2,Imnaha,3
49.51,3.242,13.48,14.38,0.239,5.22,9.2,2.67,1.03,0.787,39,93,29,298,535,26,59,2,Wanapum,1
49.89,3.195,13.56,13.95,0.222,5.22,9.21,2.65,1.08,0.774,38,97,28,301,535,27,59,2,Wanapum,1
49.92,3.258,13.69,13.33,0.231,5.39,9.38,2.55,1.22,0.788,35,106,25,288,512,30,59,2,Wanapum,1
55.01,2.449,13.83,11.97,0.205,3.44,7.12,3.2,1.91,0.6,32,14,51,330,781,30,59,2,GrandeRonde,2
49.55,3.175,13.8,13.59,0.23,5.49,9.23,2.74,1.14,0.803,36,100,24,297,557,36,59,2,Wanapum,1
51.22,3.217,13.28,14.04,0.237,4.36,8.49,3,1.23,0.694,38,37,21,308,570,5,60,2,Wanapum,1
49.79,2.254,15.3,10.66,0.177,6.96,11.15,2.48,0.48,0.526,40,286,7,254,372,23,60,2,SaddleMountains,0
50.45,3.258,13.65,12.88,0.23,5.41,9.19,2.76,1.15,0.779,37,103,27,276,532,25,60,2,Wanapum,1
50.52,3.363,13.91,12.49,0.218,5.26,9.37,2.81,1.05,0.774,32,105,24,290,564,25,60,2,Wanapum,1
51.19,2.636,15.6,11.88,0.195,4.45,8.03,3.24,2.17,0.598,28,39,40,467,580,25,60,2,Steens,4
50.04,3.331,13.71,13.38,0.222,5.02,9.36,2.75,1.15,0.778,40,100,30,300,543,26,60,2,Wanapum,1
54.21,2.604,13.97,12.34,0.211,3.65,7.65,3.08,1.57,0.445,35,16,41,333,718,28,60,2,GrandeRonde,2
50.29,3.267,13.55,13.71,0.21,4.91,9.1,2.82,1.1,0.781,40,93,29,293,529,29,60,2,Wanapum,1
49.95,3.232,13.56,13.46,0.226,5.45,9.19,2.71,1.18,0.78,38,97,27,285,516,30,60,2,Wanapum,1
51.04,3.219,13.88,12.95,0.203,4.6,9.39,2.64,1.04,0.803,42,106,26,299,497,31,60,2,Wanapum,1
51.96,3.324,13.72,12.66,0.209,4.21,8.46,3.07,1.4,0.728,35,32,34,310,577,17,61,2,Wanapum,1
51.16,3.188,13.39,14.69,0.199,4.12,8.62,2.61,1.09,0.687,40,47,27,315,560,18,61,2,Wanapum,1
51.96,3.123,13.3,13.59,0.225,4.03,8.34,3.11,1.44,0.639,42,26,37,323,577,19,61,2,Wanapum,1
51.1,2.7,15.48,12.83,0.199,4.07,7.42,3.79,1.8,0.6,27,8,28,500,709,31,61,2,Steens,4
56.21,2.797,13.48,11.47,0.231,2.77,6.78,3.27,1.95,0.804,35,7,43,335,870,33,61,2,Wanapum,1
50.01,3.252,13.68,13.56,0.219,4.95,9.34,2.88,1.09,0.788,44,94,23,298,501,21,62,2,Wanapum,1
50.01,3.254,13.67,13.55,0.219,4.95,9.34,2.88,1.09,0.789,44,94,23,298,501,21,62,2,Wanapum,1
51.16,3.291,14.21,12.41,0.22,4.14,9.77,2.66,1.09,0.806,41,119,27,300,451,28,62,2,Wanapum,1
49.86,3.251,13.74,13.36,0.227,5.32,9.29,2.77,1.14,0.787,39,92,29,303,536,28,62,2,Wanapum,1
50.65,3.33,14.22,12.54,0.218,3.9,10.19,2.68,1.02,0.968,40,100,29,314,680,28,62,2,Wanapum,1
55.66,2.461,13.87,11.36,0.202,3.33,7.09,3.18,1.95,0.622,32,13,54,340,801,29,62,2,GrandeRonde,2
55.21,2.547,14.11,12.15,0.17,3.01,6.73,3.43,1.82,0.546,32,15,48,335,747,31,62,2,GrandeRonde,2
51.66,3.356,14.34,11.38,0.21,3.93,10.05,2.73,1.25,0.819,42,115,28,314,630,23,63,2,Wanapum,1
49.66,3.213,13.43,14.06,0.235,5.28,9.14,2.69,1.26,0.786,39,91,31,296,525,26,63,2,Wanapum,1
49.74,3.184,13.53,14.16,0.218,5.25,9.28,2.65,0.96,0.755,37,97,23,305,534,28,63,2,Wanapum,1
49.29,2.595,14.22,12.35,0.202,6.59,10.89,2.4,0.61,0.595,40,280,10,259,466,29,63,2,SaddleMountains,0
52.76,3.498,13.3,13.24,0.217,3.72,8.09,2.66,1.48,0.756,38,39,40,290,780,33,63,2,Wanapum,1
55.19,2.668,12.94,13.09,0.234,2.78,6.59,3.52,1.97,0.786,27,13,48,322,786,40,63,2,Wanapum,1
49.31,3.271,13.25,14.57,0.268,5.32,9.19,2.63,1.11,0.806,38,90,29,298,684,29,64,2,Wanapum,1
51.24,2.885,16.25,12.47,0.204,3.26,7.12,4,1.91,0.664,29,7,36,498,741,31,64,2,Steens,4
55.26,2.71,13.03,13.1,0.249,2.72,6.71,3.49,1.72,0.776,35,4,34,324,797,45,64,2,Wanapum,1
51.37,2.407,16.56,8.41,0.134,5.47,11.87,2.59,0.39,0.546,40,292,5,267,466,26,65,2,SaddleMountains,0
54.75,2.566,13.31,12.49,0.21,3.5,7.33,3.18,1.95,0.445,33,18,50,297,650,28,65,2,GrandeRonde,2
55.17,2.707,13.04,13.12,0.245,2.79,6.73,3.11,2.09,0.769,33,4,45,324,781,29,65,2,Wanapum,1
52.39,3.002,13.47,13.26,0.224,4.14,8.44,2.84,1.53,0.428,32,35,33,294,738,45,65,2,SaddleMountains,0
49.82,3.625,12.82,15.67,0.349,4.16,8.54,2.54,1.4,0.809,35,33,31,292,752,31,66,2,Wanapum,1
56.18,2.23,13.88,11.84,0.206,3.27,6.79,3.05,1.87,0.435,32,15,53,359,786,32,66,2,GrandeRonde,2
53.52,1.787,14.18,11.7,0.204,5.05,8.93,3.1,1.04,0.27,43,50,24,312,505,34,66,2,GrandeRonde,2
50.03,3.276,13.57,13.63,0.226,5.1,9.3,2.71,1.11,0.79,38,98,30,301,545,27,67,2,Wanapum,1
52.43,2.992,13.66,13.39,0.221,3.85,8.44,2.87,1.45,0.433,34,34,32,297,660,30,67,2,SaddleMountains,0
54.85,1.855,13.96,11.3,0.198,4.27,7.99,3.53,1.51,0.329,34,20,35,321,526,17,68,2,GrandeRonde,2
55.79,2.151,14.9,9.22,0.19,3.95,9.11,2.71,1.39,0.351,45,53,29,338,576,21,68,2,GrandeRonde,2
50.54,3.625,12.84,14.34,0.24,4.47,8.57,2.87,1.46,0.788,43,24,31,280,535,27,68,2,Wanapum,1
49.41,2.531,14.35,10.91,0.228,6.59,12.22,2.41,0.48,0.614,41,252,9,241,399,33,68,2,SaddleMountains,0
49.41,2.531,14.35,10.92,0.228,6.59,12.22,2.41,0.48,0.614,41,252,9,241,399,33,68,2,SaddleMountains,0
53.7,1.214,14.99,9.54,0.24,6.01,10.08,3.03,0.7,0.282,46,87,16,391,403,12,69,2,GrandeRonde,2
55.52,2.323,14.63,9.88,0.15,3.79,8.13,3.47,1.5,0.357,36,49,38,344,552,27,69,2,GrandeRonde,2
50.26,3.282,13.72,13.19,0.203,4.82,9.59,2.81,1.12,0.778,42,96,26,298,433,39,69,2,Wanapum,1
50.26,3.279,13.72,13.19,0.203,4.82,9.59,2.81,1.12,0.783,42,96,26,298,433,39,69,2,Wanapum,1
54.45,1.887,14.12,12.17,0.197,4.16,8.34,2.74,1.32,0.415,39,41,31,317,496,20,70,2,GrandeRonde,2
50.43,3.154,13.34,13.67,0.232,5.19,9.18,2.71,1.09,0.77,39,110,24,288,473,23,70,2,Wanapum,1
48.4,3.331,13.17,14.32,0.214,5.92,10.18,2.56,0.86,0.778,39,175,12,250,518,32,70,2,SaddleMountains,0
48.4,3.334,13.18,14.32,0.215,5.92,10.19,2.56,0.85,0.776,39,175,12,250,518,32,70,2,SaddleMountains,0
50.35,3.286,13.76,12.86,0.236,5.21,9.36,2.8,1.1,0.802,45,107,23,282,506,18,71,2,Wanapum,1
54.99,3.759,14.76,9.39,0.124,3.02,8.2,2.96,2.02,0.443,36,40,52,300,1090,33,71,2,SaddleMountains,0
48.75,3.372,13.28,14.45,0.216,5.26,10.31,2.67,0.55,0.878,44,181,8,253,492,45,75,2,SaddleMountains,0
48.76,3.368,13.28,14.46,0.216,5.26,10.31,2.67,0.55,0.88,44,181,8,253,492,45,75,2,SaddleMountains,0
50.05,3.1,13.65,13.21,0.277,5.12,9.88,2.53,1.19,0.773,40,97,24,293,476,31,76,2,Wanapum,1
49.25,3.148,13.58,12.79,0.216,5.96,10.9,2.47,0.67,0.754,42,191,21,248,594,36,76,2,SaddleMountains,0
50.52,2.996,13.33,13.56,0.218,5.18,9.62,2.62,1,0.677,40,81,16,261,655,42,76,2,SaddleMountains,0
50.51,2.996,13.33,13.56,0.219,5.18,9.63,2.62,1,0.677,40,81,16,261,655,42,76,2,SaddleMountains,0
54.73,2.697,13.12,13.94,0.245,2.85,6.66,3.01,1.74,0.784,31,11,46,332,750,36,78,2,Wanapum,1
51.92,3.024,13.9,13.07,0.222,4.39,8.53,2.75,1.49,0.439,38,39,28,293,742,32,79,2,SaddleMountains,0
51.65,2.949,13.53,13.97,0.243,4.27,8.35,2.85,1.49,0.424,32,42,29,288,650,21,83,2,SaddleMountains,0
50.98,2.941,13.31,15.37,0.246,3.98,8.26,2.8,1.43,0.421,30,34,28,287,640,47,83,2,SaddleMountains,0
53.74,1.877,14.28,11.65,0.173,4.69,8.3,2.66,1.87,0.504,33,40,38,275,836,50,83,2,SaddleMountains,0
48.27,3.371,13.31,14.24,0.21,6.05,10.39,2.61,0.51,0.768,44,181,5,253,496,26,84,2,SaddleMountains,0
48.28,3.367,13.31,14.25,0.21,6.05,10.39,2.61,0.51,0.765,44,181,5,253,496,26,84,2,SaddleMountains,0
48.35,3.312,13.03,14.45,0.228,6.04,10.09,2.67,0.81,0.768,43,176,13,243,499,42,85,2,SaddleMountains,0
48.35,3.311,13.03,14.46,0.228,6.04,10.09,2.67,0.8,0.766,43,176,13,243,499,42,85,2,SaddleMountains,0
49.81,1.433,16.3,9.69,0.165,8.33,11.44,2.11,0.34,0.161,36,294,4,257,310,16,11,3,SaddleMountains,0
50.92,1.465,15.91,9.64,0.161,7.51,11.14,2.28,0.56,0.198,27,263,10,248,291,29,11,3,SaddleMountains,0
53.16,1.305,15.78,8.08,0.144,6.55,11.45,2.56,0.62,0.163,31,167,13,253,402,27,13,3,SaddleMountains,0
50,1.411,16.07,9.65,0.16,8.33,11.27,2.24,0.52,0.156,36,278,8,239,258,32,14,3,SaddleMountains,0
49.75,1.461,16.61,9.71,0.152,8.38,11.49,1.94,0.15,0.166,29,304,4,251,161,3,18,3,SaddleMountains,0
50.78,1.431,16.44,9.28,0.151,7.4,11.31,2.34,0.5,0.174,34,285,8,244,262,16,18,3,SaddleMountains,0
51.59,1.866,14.73,12.37,0.217,5.19,10.11,2.89,0.56,0.277,41,89,14,235,208,6,20,3,Imnaha,3
49.92,1.44,16.34,9.73,0.16,8.15,11.15,2.22,0.51,0.18,28,269,7,245,232,11,20,3,SaddleMountains,0
54.03,1.714,14.29,11.36,0.194,5.12,8.86,2.92,1.05,0.26,39,60,26,300,416,21,21,3,GrandeRonde,2
52.05,1.76,14.64,10.86,0.182,6.3,10.82,2.51,0.48,0.224,38,66,8,238,311,26,21,3,SaddleMountains,0
53.8,1.55,14.55,10.24,0.189,5.74,9.68,2.86,0.94,0.246,39,131,22,308,344,17,22,3,GrandeRonde,2
54.35,1.764,14.43,10.86,0.215,5.01,8.86,2.9,1.13,0.281,39,57,25,305,458,22,22,3,GrandeRonde,2
51.76,1.311,14.91,11.14,0.26,6.25,10.87,2.44,0.63,0.17,40,132,14,264,997,27,22,3,SaddleMountains,0
51.12,1.83,14.56,11.26,0.193,6.72,10.84,2.59,0.5,0.231,37,66,9,235,251,5,23,3,SaddleMountains,0
53.61,1.833,14.4,11.58,0.185,4.83,9.06,3.07,0.94,0.291,37,50,19,314,463,10,23,3,GrandeRonde,2
53.3,1.632,14.34,11.21,0.176,5.57,9.24,3.02,1.05,0.255,41,108,26,303,433,8,24,3,GrandeRonde,2
51.51,1.445,15,10.91,0.185,6.25,10.47,3.16,0.52,0.343,49,150,8,395,309,24,24,3,Wanapum,1
53.87,1.706,14.53,10.91,0.208,5.25,9.15,2.93,0.97,0.267,43,67,19,308,413,11,25,3,GrandeRonde,2
52.2,1.454,15.66,11.12,0.129,5.32,10.15,2.91,0.51,0.333,46,171,9,387,342,16,25,3,Wanapum,1
50.28,1.408,16.14,9.33,0.159,8.17,11.37,2.28,0.51,0.165,32,280,9,246,191,23,25,3,SaddleMountains,0
50.69,1.419,16.6,8.78,0.156,7.68,11.47,2.34,0.48,0.18,21,288,9,250,249,12,26,3,SaddleMountains,0
52.11,1.787,15.08,10.61,0.173,6.17,10.81,2.39,0.47,0.221,42,71,8,237,246,13,26,3,SaddleMountains,0
50,1.512,16.52,9.53,0.16,7.9,11.38,2.15,0.45,0.187,35,281,8,247,251,9,28,3,SaddleMountains,0
53.52,1.633,14.23,11.33,0.199,5.37,9.31,3,0.94,0.257,40,102,18,310,483,20,28,3,GrandeRonde,2
50.12,1.424,16.06,9.83,0.156,7.98,11.23,2.26,0.56,0.186,32,263,10,248,278,25,28,3,SaddleMountains,0
49.88,1.41,16.23,9.7,0.158,8.22,11.35,2.24,0.45,0.162,32,284,7,245,188,38,28,3,SaddleMountains,0
53.58,1.619,14.95,10.04,0.157,5.41,10.08,2.83,0.88,0.247,47,135,25,325,346,10,29,3,GrandeRonde,2
50.42,1.431,15.95,9.95,0.153,7.62,11.16,2.41,0.47,0.191,32,274,10,280,613,18,29,3,SaddleMountains,0
50.42,1.431,15.95,9.95,0.153,7.62,11.16,2.42,0.47,0.191,32,274,10,280,613,18,29,3,SaddleMountains,0
54.5,1.681,14.59,10.65,0.188,4.98,8.94,2.85,1.14,0.266,37,99,25,307,494,13,30,3,GrandeRonde,2
49.85,1.475,16.27,9.98,0.166,8.29,10.95,2.2,0.43,0.179,31,283,6,240,249,22,30,3,SaddleMountains,0
54.17,1.666,14.34,11.4,0.195,4.85,9.06,2.71,1.13,0.268,38,85,28,309,437,37,30,3,GrandeRonde,2
49.43,1.808,15.38,10.68,0.169,7.73,11.18,2.53,0.39,0.442,31,280,10,269,649,7,31,3,SaddleMountains,0
49.43,1.808,15.39,10.69,0.169,7.73,11.19,2.53,0.39,0.442,31,280,10,269,649,7,31,3,SaddleMountains,0
49.39,0.976,17.11,10.07,0.191,7.63,11.3,2.72,0.27,0.175,38,141,4,333,127,4,32,3,Wanapum,1
49.39,0.977,17.11,10.07,0.191,7.63,11.3,2.71,0.27,0.174,38,141,4,333,127,4,32,3,Wanapum,1
53.95,1.801,14.32,10.97,0.197,5.09,9.05,2.98,1.15,0.279,38,54,27,313,499,8,32,3,GrandeRonde,2
53.32,1.634,14.47,10.88,0.183,5.49,9.46,3.12,0.98,0.259,41,112,19,308,408,15,32,3,GrandeRonde,2
50.33,1.436,16.29,9.65,0.159,7.72,11.33,2.22,0.48,0.173,24,282,9,250,242,17,32,3,SaddleMountains,0
54.97,1.716,14.55,10.2,0.187,4.83,8.71,3.21,1.15,0.264,34,29,27,329,516,23,32,3,GrandeRonde,2
49.21,1.768,18.12,11.24,0.145,7.76,9.41,1.83,0.17,0.124,37,293,3,217,270,26,32,3,SaddleMountains,0
54.58,1.84,14.28,11.93,0.18,4.17,8.15,3.2,1.16,0.308,43,49,29,309,469,9,33,3,GrandeRonde,2
51.31,1.306,15.57,10.34,0.198,6.67,10.43,2.97,0.69,0.303,39,191,7,378,306,11,33,3,Wanapum,1
50.22,1.431,16.02,9.88,0.159,7.93,11.2,2.24,0.54,0.18,33,270,9,243,215,12,33,3,SaddleMountains,0
50.97,1.826,14.56,11.48,0.191,6.74,10.8,2.6,0.43,0.235,43,72,5,234,260,16,33,3,SaddleMountains,0
53.68,1.525,14.7,10.72,0.178,5.38,9.84,2.69,0.83,0.245,39,150,27,310,432,16,33,3,GrandeRonde,2
51.63,1.438,16.11,9.23,0.149,7.3,10.98,2.29,0.47,0.195,32,270,9,249,249,18,33,3,SaddleMountains,0
53.14,1.654,14.51,11.46,0.179,5.38,9.3,2.91,0.97,0.265,39,129,25,309,435,18,33,3,GrandeRonde,2
53.14,1.65,14.51,11.46,0.18,5.38,9.31,2.91,0.97,0.27,39,129,25,309,435,18,33,3,GrandeRonde,2
51.66,1.679,14.48,11,0.186,6.69,10.81,2.58,0.56,0.197,37,66,10,232,256,0.1,34,3,SaddleMountains,0
53.76,1.986,14.76,10.76,0.187,5.14,9.25,2.68,0.99,0.259,35,164,19,355,432,13,34,3,GrandeRonde,2
49.7,1.456,15.97,10.07,0.16,8.21,11.24,2.29,0.52,0.184,42,277,8,249,232,17,34,3,SaddleMountains,0
51.8,1.578,17.12,8.72,0.154,5.5,11.69,2.47,0.5,0.217,34,296,11,278,343,21,34,3,SaddleMountains,0
52.93,1.795,14.57,11.67,0.2,5.46,9.26,2.85,0.8,0.26,38,53,17,314,412,25,34,3,GrandeRonde,2
54.38,1.784,14.47,11.83,0.179,4.22,8.5,2.96,1.16,0.312,39,55,24,309,482,27,34,3,GrandeRonde,2
54.33,1.704,14.5,11.11,0.166,4.97,8.7,3.01,1.07,0.255,35,22,24,340,470,4,35,3,GrandeRonde,2
51.63,1.731,13.67,11.42,0.193,5.07,11.83,3.05,0.92,0.303,44,41,20,323,421,12,35,3,GrandeRonde,2
54.45,1.728,14.54,10.81,0.242,4.94,8.82,2.97,1,0.266,35,20,21,343,666,13,35,3,GrandeRonde,2
51.67,1.504,15.34,10.24,0.19,6.22,10.51,3.19,0.56,0.36,46,158,10,395,335,14,35,3,Wanapum,1
53.03,1.808,14.51,11.74,0.199,5.25,9.19,2.78,1,0.291,39,53,23,309,412,16,35,3,GrandeRonde,2
51.38,1.676,14.65,10.8,0.191,6.94,10.98,2.51,0.51,0.199,40,69,9,230,205,17,35,3,SaddleMountains,0
51.15,1.651,14.46,11.08,0.182,7.14,10.91,2.6,0.45,0.22,38,74,7,235,217,17,35,3,SaddleMountains,0
51.84,1.669,14.53,10.63,0.182,7.11,10.89,2.06,0.69,0.232,35,115,17,225,255,20,35,3,SaddleMountains,0
53.44,1.687,14.29,11.27,0.196,5.42,9.31,2.95,0.95,0.268,38,94,19,313,458,20,35,3,GrandeRonde,2
53.44,1.69,14.29,11.27,0.2,5.42,9.31,2.95,0.95,0.27,38,94,19,313,458,20,35,3,GrandeRonde,2
53.58,1.709,14.37,11.39,0.169,5.42,8.86,2.91,1.09,0.265,38,94,29,307,449,21,35,3,GrandeRonde,2
53.59,1.71,14.37,11.4,0.17,5.42,8.86,2.91,1.09,0.26,38,94,29,307,449,21,35,3,GrandeRonde,2
50.93,1.712,14.57,10.89,0.194,7.2,11.09,2.6,0.44,0.211,31,77,7,233,227,26,35,3,SaddleMountains,0
51.94,1.408,15.67,9.9,0.177,5.92,10.84,3.08,0.51,0.333,41,173,7,405,329,9,36,3,Wanapum,1
49.27,1.811,15.48,10.85,0.178,7.96,11.23,2.31,0.32,0.397,35,283,2,249,295,11,36,3,SaddleMountains,0
49.27,1.811,15.48,10.85,0.177,7.96,11.22,2.31,0.32,0.397,35,283,2,249,295,11,36,3,SaddleMountains,0
48.63,1.725,16.25,10.47,0.171,7.94,11.67,2.22,0.22,0.48,37,304,4,268,376,11,36,3,SaddleMountains,0
48.64,1.725,16.25,10.47,0.17,7.94,11.68,2.21,0.22,0.48,37,304,4,268,376,11,36,3,SaddleMountains,0
48.72,1.764,15.63,10.87,0.182,8.09,11.46,2.34,0.28,0.424,38,296,3,262,441,11,36,3,SaddleMountains,0
48.73,1.764,15.63,10.87,0.182,8.09,11.47,2.34,0.28,0.424,38,296,3,262,441,11,36,3,SaddleMountains,0
49.44,1.747,15.91,10.2,0.172,7.64,11.52,2.41,0.33,0.4,40,307,4,270,457,11,36,3,SaddleMountains,0
49.44,1.747,15.9,10.2,0.172,7.65,11.52,2.42,0.33,0.4,40,307,4,270,457,11,36,3,SaddleMountains,0
53.9,1.821,14.23,11.87,0.197,4.59,8.86,3.01,1.01,0.298,45,51,30,316,441,12,36,3,GrandeRonde,2
53.65,1.926,14.3,11.38,0.188,5.19,9.11,2.83,0.96,0.269,39,34,20,325,370,14,36,3,GrandeRonde,2
50.16,1.445,16.39,9.54,0.152,7.9,11.22,2.24,0.56,0.184,32,299,11,248,260,15,36,3,SaddleMountains,0
