Trend,Volcano,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),PB206_PB204,PB207_PB204,PB208_PB204
0,2,49.48,2.43,13.55,11.46,6.93,0.16,0.41,2.42,0.18,18.25,15.43,38.00
0,2,48.67,2.87,13.75,11.69,6.71,0.21,0.57,2.58,0.24,18.37,15.48,38.13
0,2,49.31,2.61,13.84,11.65,6.8,0.18,0.42,2.41,0.2,18.36,15.48,38.13
0,2,49.19,2.46,13.35,12.21,7.29,0.19,0.49,2.4,0.21,18.34,15.46,38.08
0,2,49.2,2.56,12.93,12.02,8.01,0.16,0.44,2.35,0.21,18.42,15.47,38.12
0,2,48.23,2.54,13.54,12.3,7.19,0.19,0.56,2.67,0.21,18.25,15.44,37.99
0,2,49.45,2.61,12.87,12.34,7.8,0.17,0.37,2.01,0.26,18.43,15.47,38.17
0,2,42.93,1.33,7.08,7.58,25.16,0.18,0.38,1.28,0.14,18.32,15.44,37.99
0,2,48.35,2.72,13.3,12.65,7.45,0.17,0.59,2.5,0.3,18.36,15.45,38.07
0,2,47.86,2.4,12.32,10.94,10.04,0.18,0.4,2.12,0.24,18.38,15.47,38.16
0,2,49.6,2.59,13.45,11.9,7.42,0.18,0.43,2.31,0.27,18.39,15.47,38.18
0,2,48.4,2.37,12.4,10.6,10,0.18,0.34,2.19,0.23,18.43,15.49,38.16
0,2,46.9,2.34,12.5,11.4,9.86,0.18,0.49,2.35,0.25,18.34,15.49,38.11
0,2,46.9,2.63,12.5,11,9.63,0.19,0.55,2.4,0.27,18.42,15.48,38.12
0,2,50.1,2.1,13.7,11,7.91,0.17,0.32,2.35,0.19,,,
0,2,49,2.41,12.8,12,7.42,0.18,0.48,2.43,0.22,,,
0,2,49.3,2.44,12.9,12.1,7.12,0.18,0.5,2.47,0.24,18.35,15.47,38.14
0,2,49.3,2.44,12.9,12.1,7.12,0.18,0.5,2.47,0.24,,,
0,2,49.5,2.54,13.5,11.1,7.24,0.18,0.38,2.42,0.26,,,
0,2,48.8,2.52,13.5,12.1,7.04,0.17,0.64,2.69,0.29,,,
0,2,48.7,2.22,12.3,10.6,10.7,0.17,0.32,1.96,0.2,18.27,15.47,38.02
0,2,49.6,2.5,13.4,11.1,7.25,0.17,0.39,2.42,0.23,,,
0,2,44.39,1.22,6.14,5.53,27.43,0.18,0.32,1.2,0.12,18.34,15.46,38.14
0,2,44.63,1.4,7.13,6.33,24.21,0.19,0.4,1.34,0.14,18.33,15.46,38.12
0,2,48.1,2.79,12.6,12.3,7.6,0.18,0.5,2.47,0.27,,,
0,2,43.08,1.38,5.81,6.18,27.28,0.15,0.2,1.01,0.11,18.43,15.47,38.15
0,2,44.14,1.31,6.4,5.7,26.58,0.17,0.33,1.03,0.15,18.36,15.48,38.18
0,2,43.79,1.51,6.93,7.26,24.47,0.16,0.26,1.08,0.13,18.50,15.48,38.18
0,2,43.59,1.6,7.09,7.58,23.26,0.16,0.33,1.3,0.15,18.45,15.48,38.13
0,2,43.86,1.67,7.22,7.23,23.25,0.16,0.3,1.34,0.15,18.44,15.48,38.18
0,2,43.89,1.69,7.25,7.36,22.97,0.15,0.28,1.3,0.15,18.44,15.48,38.18
0,2,44.24,1.75,8.43,10.5,19.52,0.17,0.47,1.55,0.18,,,
0,2,46.32,2.2,9.54,8.97,16.57,0.17,0.66,1.79,0.23,,,
0,2,46.01,2.19,9.62,9.16,16.57,0.16,0.47,1.97,0.22,18.49,15.48,38.15
0,2,46.98,2.08,10.6,9.67,14.9,0.17,0.41,2.15,0.2,,,
0,2,47.46,2.55,12.02,10.73,12.14,0.19,0.19,2.2,0.2,,,
0,2,47.19,2.39,11.74,10.91,10.36,0.16,0.39,2.09,0.22,18.35,15.47,38.10
0,2,48.61,2.38,12.47,11.26,10.04,0.21,0.29,1.77,0.16,,,
0,2,47.87,2.25,11.72,12.83,9.16,0.15,0.49,2.23,0.2,,,
0,2,48.3,2.85,13.9,11.4,6.49,0.19,0.59,2.87,0.3,,,
,,,,,,,,,,,,,
1,3,50.56,2.796,13.52,11.15,6.53,0.18,0.53,2.28,0.288,18.56,15.48,38.12
1,3,48.96,1.89,10.45,8.53,15.97,0.17,0.34,1.52,0.16,,,
1,3,51.22,2.47,14.06,10.89,6.53,0.17,0.468,2.38,0.26,18.41,15.47,38.05
1,3,50.97,2.589,13.5,10.89,6.54,0.18,0.454,2.38,0.261,18.36,15.47,38.04
1,3,50.55,2.79,13.88,11.31,6.68,0.17,0.54,2.37,0.27,18.57,15.48,38.13
1,3,50.12,2.695,13.96,11.19,6.62,0.17,0.531,2.28,0.273,18.55,15.48,38.11
1,3,51.22,2.466,13.99,10.91,6.74,0.17,0.442,2.29,0.259,18.41,15.48,38.05
1,3,51.37,2.448,13.79,10.82,6.82,0.17,0.452,2.44,0.26,18.36,15.47,38.02
1,3,51.15,2.45,13.67,10.8,6.81,0.17,0.449,2.33,0.257,18.37,15.47,38.03
1,3,51.16,2.452,13.76,10.75,6.82,0.17,0.456,2.33,0.26,18.37,15.47,38.02
1,3,51.03,2.43,13.9,10.95,6.82,0.17,0.457,2.32,0.256,18.41,15.47,38.05
1,3,50.71,2.86,13.65,10.54,6.92,0.17,0.55,2.5,0.29,18.45,15.47,38.06
1,3,51.02,2.403,13.63,11.1,6.87,0.17,0.431,2.28,0.247,18.26,15.46,37.96
1,3,49.81,2.763,13.73,11.4,6.93,0.17,0.528,2.5,0.274,,,
1,3,51.17,2.438,13.82,10.84,6.96,0.17,0.461,2.32,0.259,18.38,15.47,38.03
1,3,50.49,2.77,13.33,11.49,7.07,0.18,0.57,2.39,0.29,18.54,15.47,38.16
1,3,50.17,2.472,13.36,11.25,7.15,0.17,0.458,2.22,0.246,18.46,15.46,38.06
1,3,49.51,2.727,13.3,11.41,7.17,0.17,0.552,2.18,0.274,18.57,15.49,38.23
1,3,50.01,2.639,13.57,11.02,7.21,0.17,0.516,2.05,0.269,18.54,15.49,38.13
1,3,50.38,2.482,13.42,11.29,7.27,0.17,0.462,2.36,0.245,18.45,15.47,38.08
1,3,50.16,2.591,13.27,11.2,7.29,0.17,0.508,2.39,0.267,18.51,15.48,38.13
1,3,51.13,2.44,13.39,11.09,7.42,0.17,0.41,2.21,0.23,18.41,15.47,38.06
1,3,49.12,2.705,12.99,11.47,7.31,0.19,0.563,2.36,0.273,18.57,15.49,38.22
1,3,51.11,2.205,13.85,11.05,7.42,0.17,0.392,2.3,0.22,18.33,15.47,37.99
1,3,49.71,2.78,13.58,11.58,7.46,0.17,0.53,2.26,0.25,18.55,15.49,38.20
1,3,49.79,2.79,13.34,11.57,7.47,0.17,0.55,2.25,0.26,18.60,15.49,38.24
1,3,51,2.278,13.52,10.98,7.46,0.17,0.387,2.17,0.229,18.25,15.46,37.93
1,3,50.25,2.62,13.61,11.14,7.63,0.17,0.55,2.32,0.26,,,
1,3,50.79,2.307,13.5,11.26,7.58,0.17,0.409,2.2,0.227,18.36,15.47,38.04
1,3,50.66,2.499,13.37,11.04,7.58,0.17,0.472,2.35,0.252,18.43,15.46,38.03
1,3,50.18,2.57,13.63,11.02,7.63,0.17,0.54,2.25,0.25,,,
1,3,50.92,2.223,13.51,10.96,7.69,0.17,0.382,2.18,0.225,18.25,15.46,37.94
1,3,50.16,2.441,13.27,10.93,7.71,0.18,0.429,2.45,0.24,18.41,15.47,38.06
1,3,50.01,2.45,13.01,11.07,7.84,0.17,0.45,2.19,0.23,,,
1,3,49.35,2.662,13.23,11.42,7.75,0.19,0.51,2.11,0.265,18.65,15.49,38.17
1,3,50.77,2.64,13.3,10.39,8.13,0.19,0.5,2.31,0.26,,,
1,3,50.48,2.31,13.63,11.05,8.14,0.17,0.41,2.22,0.22,,,
1,3,49.85,2.568,13.13,10.46,8.1,0.17,0.504,2.3,0.26,18.47,15.47,38.09
1,3,50.1,2.349,12.98,10.74,8.33,0.19,0.402,2.08,0.22,18.41,15.48,38.07
1,3,49.92,2.374,12.91,10.63,8.4,0.18,0.411,2.15,0.23,18.43,15.49,38.11
1,3,49.96,2.368,12.84,10.69,8.51,0.17,0.42,2.21,0.23,18.39,15.47,38.03
1,3,49.96,2.392,12.88,10.72,8.67,0.18,0.448,2.31,0.23,18.41,15.48,38.07
1,3,49.56,2.71,12.93,11.26,8.73,0.17,0.51,2.16,0.26,18.65,15.49,38.21
1,3,49.95,2.372,12.94,10.69,8.67,0.17,0.419,2.01,0.231,18.39,15.48,38.05
